Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
76.000000	0.084761	1.441000	91.389000	94.279000	1.500000	86.664000	89.668000	
77.000000	0.084385	1.443000	91.257000	94.269000	1.485000	86.250000	89.911000	
78.000000	0.084005	1.439000	91.260000	94.269000	1.462000	86.225000	90.721000	
79.000000	0.083622	1.439000	91.516000	94.330000	1.491000	85.306000	88.817000	
80.000000	0.083235	1.431000	91.844000	94.646000	1.499000	87.599000	89.627000	
81.000000	0.082844	1.442000	91.453000	94.208000	1.479000	87.867000	90.964000	
82.000000	0.082450	1.440000	91.485000	94.259000	1.491000	86.891000	89.870000	
83.000000	0.082052	1.434000	91.568000	94.575000	1.503000	86.799000	88.776000	
84.000000	0.081651	1.429000	91.845000	94.554000	1.474000	88.225000	90.721000	
85.000000	0.081247	1.435000	91.672000	94.513000	1.466000	87.005000	91.005000	
86.000000	0.080839	1.433000	91.518000	94.513000	1.519000	85.944000	88.695000	
87.000000	0.080428	1.427000	92.401000	94.829000	1.473000	87.571000	90.478000	
88.000000	0.080013	1.422000	92.782000	95.206000	1.470000	87.530000	90.154000	
89.000000	0.079595	1.428000	91.906000	94.615000	1.477000	87.064000	90.843000	
90.000000	0.079174	1.426000	92.281000	94.829000	1.477000	87.338000	89.870000	
91.000000	0.078750	1.422000	92.725000	95.195000	1.467000	86.526000	90.924000	
92.000000	0.078323	1.424000	92.255000	94.890000	1.471000	87.276000	90.681000	
93.000000	0.077893	1.427000	92.027000	94.686000	1.474000	85.863000	90.154000	
94.000000	0.077460	1.420000	92.354000	94.880000	1.482000	87.169000	90.397000	
95.000000	0.077023	1.420000	92.945000	95.185000	1.488000	85.758000	89.789000	
96.000000	0.076584	1.419000	92.524000	95.083000	1.462000	88.063000	90.681000	
97.000000	0.076142	1.418000	93.005000	95.379000	1.467000	88.046000	90.762000	
98.000000	0.075698	1.414000	93.354000	95.521000	1.461000	87.664000	91.370000	
99.000000	0.075250	1.418000	92.889000	95.430000	1.467000	87.292000	91.856000	
100.000000	0.074800	1.417000	92.896000	95.246000	1.468000	87.238000	91.491000	
101.000000	0.074347	1.413000	92.795000	95.206000	1.491000	86.679000	89.870000	
102.000000	0.073891	1.415000	92.822000	95.063000	1.462000	88.506000	91.451000	
103.000000	0.073433	1.409000	93.482000	95.674000	1.499000	86.334000	89.546000	
104.000000	0.072973	1.416000	93.024000	95.206000	1.504000	87.352000	89.870000	
105.000000	0.072509	1.412000	92.992000	95.257000	1.453000	88.488000	91.248000	
106.000000	0.072044	1.408000	93.754000	95.837000	1.475000	86.667000	90.600000	
107.000000	0.071576	1.412000	93.279000	95.440000	1.459000	87.688000	90.316000	
108.000000	0.071106	1.406000	93.364000	95.664000	1.469000	86.896000	90.154000	
109.000000	0.070633	1.402000	93.583000	95.704000	1.458000	88.778000	91.653000	
110.000000	0.070159	1.404000	93.413000	95.582000	1.475000	86.952000	90.721000	
111.000000	0.069682	1.406000	93.213000	95.592000	1.473000	88.079000	91.045000	
112.000000	0.069203	1.400000	93.574000	95.867000	1.471000	87.509000	91.613000	
113.000000	0.068722	1.402000	93.674000	95.776000	1.455000	88.017000	91.086000	
114.000000	0.068239	1.398000	93.914000	95.959000	1.476000	87.280000	90.073000	
115.000000	0.067754	1.397000	93.864000	95.867000	1.472000	87.410000	90.640000	
116.000000	0.067268	1.397000	93.698000	95.847000	1.446000	87.013000	91.451000	
117.000000	0.066779	1.394000	93.975000	95.989000	1.464000	87.673000	91.207000	
118.000000	0.066288	1.395000	93.897000	95.898000	1.447000	87.276000	91.491000	
119.000000	0.065796	1.394000	94.118000	96.071000	1.456000	88.558000	90.802000	
120.000000	0.065303	1.397000	93.878000	95.877000	1.446000	88.276000	91.856000	
121.000000	0.064807	1.389000	94.353000	96.325000	1.458000	87.997000	91.086000	
122.000000	0.064310	1.390000	94.146000	96.183000	1.449000	89.104000	92.180000	
123.000000	0.063812	1.389000	94.355000	96.285000	1.459000	87.997000	91.288000	
124.000000	0.063312	1.391000	93.879000	95.928000	1.454000	88.488000	90.559000	
125.000000	0.062810	1.389000	94.064000	96.081000	1.471000	88.384000	90.721000	
126.000000	0.062307	1.390000	94.529000	96.336000	1.472000	88.205000	91.005000	
127.000000	0.061803	1.386000	94.466000	96.447000	1.443000	87.526000	91.410000	
128.000000	0.061298	1.388000	93.972000	96.040000	1.450000	88.435000	91.532000	
129.000000	0.060792	1.385000	94.845000	96.386000	1.455000	87.054000	91.086000	
130.000000	0.060284	1.383000	94.525000	96.468000	1.448000	88.622000	90.843000	
131.000000	0.059775	1.380000	94.480000	96.376000	1.460000	88.167000	90.843000	
132.000000	0.059266	1.379000	95.023000	96.702000	1.453000	88.997000	90.843000	
133.000000	0.058755	1.384000	94.754000	96.417000	1.466000	87.311000	90.316000	
134.000000	0.058244	1.382000	94.885000	96.539000	1.455000	88.459000	91.126000	
135.000000	0.057731	1.377000	95.281000	96.814000	1.441000	88.062000	92.058000	
136.000000	0.057218	1.377000	94.807000	96.559000	1.503000	88.059000	88.736000	
137.000000	0.056704	1.378000	95.174000	96.783000	1.479000	87.696000	89.992000	
138.000000	0.056189	1.378000	94.951000	96.590000	1.502000	86.705000	88.493000	
